Generated by GetData Graph Digitizer 2.26.0.20 on March 20 2017, 12:36
from file 'C:\Users\Lenovo\Documents\GitHub\HEAsDeepDive\rHEAsDeepDive\Data\Figure_Data\Vickers hardness and wear resistance of Al0.5CoCrCuFeNiTixalloys with different titanium contents.JPG'

Line #1
-2.60392156862743e-003    5.27403921568627e+002
 2.03560784313726e-001    5.27811764705882e+002
 3.99152941176471e-001    5.28198692810457e+002
 6.00015686274510e-001    5.30969934640523e+002
 7.99858823529412e-001    6.88041830065359e+002
 1.00589803921569e+000    7.07440522875817e+002
 1.20164705882353e+000    6.84088888888889e+002
 1.39755294117647e+000    6.36998692810458e+002
 1.59861960784314e+000    6.08909803921569e+002
 1.79967058823529e+000    5.83194771241830e+002
 2.00585098039216e+000    5.81228758169935e+002

Line #2
-5.96078431372521e-004    2.23550326797386e+002
 1.99952941176471e-001    2.73798692810458e+002
 4.00517647058824e-001    3.21673202614379e+002
 6.00486274509804e-001    4.59754248366013e+002
 8.00517647058824e-001    5.88339869281046e+002
 9.95796078431373e-001    6.36203921568627e+002
 1.19659607843137e+000    6.48470588235294e+002
 1.39742745098039e+000    6.55989542483660e+002
 1.59827450980392e+000    6.61134640522876e+002
 1.79909019607843e+000    6.71027450980392e+002
 1.99976470588235e+000    7.02284967320261e+002
