Generated by GetData Graph Digitizer 2.26.0.20 on March 20 2017, 18:54
from file 'C:\Users\Lenovo\Documents\GitHub\HEAsDeepDive\rHEAsDeepDive\Data\Figure_Data\Vickers hardness and wear resistance of Al0.5CoCrCuFeNiVxalloys with differentvanadium contents..JPG'

Line #1
-4.26439232409370e-004    4.44931506849315e-001
 1.94029850746269e-001    4.06575342465753e-001
 3.98720682302772e-001    4.60273972602740e-001
 5.98294243070363e-001    6.63561643835616e-001
 7.97867803837953e-001    9.01369863013699e-001
 9.97441364605544e-001    1.28109589041096e+000
 1.20724946695096e+000    1.15068493150685e+000
 1.40682302771855e+000    1.15452054794521e+000
 1.60127931769723e+000    1.18904109589041e+000
 1.80085287846482e+000    1.19671232876712e+000
 2.00042643923241e+000    1.17369863013699e+000

Line #2
-4.26439232409370e-004    9.16712328767123e-001
 2.04264392324094e-001    9.09041095890411e-001
 3.98720682302772e-001    8.74520547945205e-001
 5.98294243070363e-001    8.63013698630137e-001
 8.02985074626866e-001    8.74520547945205e-001
 9.97441364605544e-001    9.43561643835616e-001
 1.20724946695096e+000    1.05479452054795e+000
 1.40170575692964e+000    1.07397260273973e+000
 1.60127931769723e+000    1.06246575342466e+000
 1.80597014925373e+000    1.08164383561644e+000
 2.00042643923241e+000    1.12000000000000e+000
