Generated by GetData Graph Digitizer 2.26.0.20 on March 28 2017, 09:31
from file 'C:\Users\Lenovo\Documents\GitHub\HEAsDeepDive\rHEAsDeepDive\Data\Figure_Data\fig. 4.JPG'

Line #1
 2.97297297297297e+002    7.36617647058824e+002
 5.74220374220374e+002    6.75441176470588e+002
 6.74012474012474e+002    6.50588235294118e+002
 7.76299376299376e+002    6.46764705882353e+002
 8.81081081081081e+002    6.02794117647059e+002
 9.75883575883576e+002    6.08529411764706e+002
 1.07318087318087e+003    5.30147058823529e+002
 1.27775467775468e+003    3.52352941176471e+002

Line #2
 2.99792099792100e+002    7.34705882352941e+002
 5.71725571725572e+002    6.65882352941176e+002
 6.74012474012474e+002    6.52500000000000e+002
 7.71309771309771e+002    6.39117647058824e+002
 8.73596673596674e+002    6.12352941176471e+002
 9.73388773388773e+002    5.93235294117647e+002
 1.07318087318087e+003    5.28235294117647e+002
 1.17297297297297e+003    4.46029411764706e+002
 1.27525987525988e+003    3.46617647058824e+002

Line #3
 2.99792099792100e+002    6.77352941176471e+002
 5.74220374220374e+002    6.21911764705882e+002
 6.71517671517671e+002    5.83676470588235e+002
 7.73804573804574e+002    5.87500000000000e+002
 8.76091476091476e+002    5.62647058823530e+002
 9.75883575883576e+002    5.49264705882353e+002
 1.07068607068607e+003    4.42205882352941e+002
 1.17546777546778e+003    3.38970588235294e+002
 1.27775467775468e+003    2.43382352941176e+002

Line #4
 2.97297297297297e+002    5.26323529411765e+002
 5.74220374220374e+002    4.67058823529412e+002
 6.74012474012474e+002    4.53676470588235e+002
 7.73804573804574e+002    4.49852941176471e+002
 8.73596673596674e+002    4.21176470588235e+002
 9.75883575883576e+002    4.02058823529412e+002
 1.07567567567568e+003    3.52352941176471e+002
 1.17297297297297e+003    2.66323529411765e+002
 1.27525987525988e+003    1.66911764705882e+002
