"","variable","importance"
"1","C",0
"2","O",0
"3","Ge",0
"4","Sn",0
"5","Ho",0
"6","Pd",0.0491489745421016
"7","Tm",0.115883171522607
"8","Ce",0.137918614699966
"9","Be",0.157555243407641
"10","Li",0.171108567120464
"11","Mg",0.171207175004269
"12","Sc",0.187224582289023
"13","Lu",0.263423999478837
"14","Gd",0.287281909582923
"15","Tb",0.31900218183488
"16","Hf",0.331128718041168
"17","Dy",0.353281128154847
"18","Au",0.708176202299397
"19","Zn",0.766487819204924
"20","Y",1.03015288663887
"21","B",1.09957329309826
"22","Ta",1.43917237904324
"23","Si",1.49444229245457
"24","W",1.61620389619496
"25","Mn",1.78240447472373
"26","Zr",1.96888472979895
"27","V",2.52652985426097
"28","Nb",4.72905976813092
"29","Ti",6.66280688189887
"30","Mo",7.49559977575664
"31","Cr",7.88186110428898
"32","Co",8.16355076986704
"33","Fe",8.50367340871303
"34","Ni",9.44336319388728
"35","Cu",11.2320585225971
"36","Al",14.729086927506
